Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
11:08.6,-0.29833,0.688568,-2.849175,-0.507412,0.37468,0.212728,33.48283,-13.887161,-27.815521,-3.968083,-25.99362,7.533908,1
11:08.7,1.786834,8.61279,14.097983,0.80624,1.083195,0.656829,34.4631,-16.465782,-24.530182,-6.959461,-29.655646,9.322623,1
11:08.8,0.507594,5.94833,23.483466,0.85476,-0.332338,1.323856,30.984215,-16.281212,-23.871765,-12.009245,-27.082817,2.521835,1
11:08.9,-2.292932,2.844235,-2.09684,-1.798574,-0.819914,-0.009355,29.008221,-13.640579,-28.690643,-12.226963,-19.758591,-1.006098,1
11:09.0,-1.412912,1.070424,-1.67352,-0.719725,-0.222755,0.032084,28.737061,-13.493706,-30.851288,-12.809693,-19.201478,-1.575419,1
11:09.1,0.102088,3.1496,10.542726,0.298086,0.24932,0.68574,29.162937,-15.711853,-26.429413,-16.620324,-21.473934,-1.545479,1
11:09.2,6.146668,6.048472,27.409502,1.476748,2.1513,3.299129,25.838356,-24.7528,-20.955505,-30.795761,-24.694022,-5.760125,1
11:09.3,-1.419498,4.822522,-2.874323,-2.3226,4.768701,1.406539,27.8484,-23.390038,-23.554016,-36.884806,-14.420545,0.13212,1
11:09.4,-0.301024,1.664688,-2.470762,-0.69372,-0.677531,0.207388,26.455467,-22.214111,-25.94693,-38.900624,-11.814745,-2.369124,1
11:09.5,1.29376,3.826493,19.628083,0.102961,0.937541,0.78559,26.901241,-24.398338,-22.308868,-42.595158,-11.405381,0.969526,1
11:09.6,0.160167,0.818947,20.913161,1.105438,1.102998,1.717833,22.132168,-30.164558,-17.999847,-50.288001,-14.41787,-0.914748,1
11:09.7,0.576751,2.963238,-2.846481,-0.880877,2.594866,0.187401,25.729603,-27.398262,-19.916077,-52.587987,-11.524544,4.982367,1
11:09.8,-0.919238,1.968556,0.345931,0.818526,-0.773865,0.251018,24.6306,-27.156212,-23.135742,-53.908209,-12.595809,1.630007,1
11:09.9,2.21674,-0.295336,24.633075,-0.309127,0.374542,-0.338371,25.405621,-26.585037,-19.386383,-52.486983,-11.408362,4.413108,1
11:10.0,1.067281,2.356999,17.711768,0.879136,-0.858921,0.575553,22.066616,-29.152679,-16.414337,-53.372327,-15.249619,1.054466,1
11:10.1,-1.84641,-0.644111,-8.88672,1.290914,0.002136,-0.930715,26.522949,-27.926453,-20.701172,-48.333968,-22.13952,1.702559,1
11:10.2,-0.909209,1.215622,2.397265,-1.705819,-0.923618,-2.313763,27.938309,-21.789062,-25.935883,-36.738015,-18.119721,-0.29292,1
11:10.3,1.124611,2.147434,20.752096,-1.249678,-0.853706,-1.428671,28.782509,-16.807785,-23.500244,-29.990358,-11.062575,-0.211628,1
11:10.4,-0.126337,7.39103,19.853514,1.001781,0.08462,-0.754437,30.703773,-19.904106,-19.756866,-26.401774,-16.713102,1.570044,1
11:10.5,-0.670456,0.78871,-2.119742,0.637547,-0.443442,-2.69848,32.142944,-15.771782,-25.288574,-13.504399,-22.638638,3.09744,1
11:10.6,-1.01953,-0.516127,-2.042353,0.023347,-2.937773,-2.023378,26.402237,-9.891426,-34.487488,0.017815,-21.505808,-6.335534,1
11:10.7,2.11091,0.172591,6.882089,-1.757404,-0.196358,-2.132741,26.3993,1.230034,-34.856598,14.146396,-12.996657,-5.14848,1
11:10.8,11.202554,2.233356,34.883459,-0.295961,-1.435611,-1.152466,21.346588,7.374405,-37.472107,23.013136,-10.608377,-11.958312,1
11:10.9,-2.440375,3.41904,1.399739,0.19137,-1.457599,-1.531266,14.306648,8.037003,-40.667114,32.12904,-14.501672,-17.283753,1
11:11.0,-4.06824,0.600401,-2.568209,0.332345,-1.296668,-4.170347,3.801056,8.866875,-42.305237,53.688446,-21.584283,-17.823343,1
11:11.1,-0.278571,2.392475,6.325097,-0.932156,1.288066,-1.413622,4.06012,11.065247,-42.36911,63.396948,-21.788011,-11.198562,1
11:11.2,7.540719,3.169808,38.345011,-2.23583,1.107458,-1.017609,7.215218,18.894279,-38.941742,68.119641,-12.423474,-2.885877,1
11:11.3,-2.835404,4.383185,-1.448837,0.469721,-1.524483,-0.156781,4.266472,13.225838,-41.977142,66.844036,-20.176891,-7.199542,1
11:11.4,-3.622018,-1.030757,-4.706064,3.340952,-1.991361,-2.585005,-1.504013,-1.429382,-45.446533,78.714688,-38.318779,-7.366721,1
11:11.5,-1.952091,1.487307,-0.502505,-0.622578,0.166693,-0.831553,-5.235207,-2.174675,-45.583923,83.172677,-38.890575,-7.747255,1
11:11.6,15.633939,10.644964,44.567122,-0.911931,-1.08077,-0.172558,-7.891548,3.29747,-43.632324,84.692586,-32.75035,-9.906967,1
11:11.7,-1.637146,6.209837,-0.804876,0.909199,-1.115633,1.063988,-8.609924,5.65918,-43.357239,75.751544,-31.088709,-15.446434,1
11:11.8,-1.393003,-2.336641,-5.377268,1.643592,-0.899895,-1.669761,-8.833572,-1.694214,-44.248047,81.901197,-38.918478,-12.256907,1
11:11.9,3.012036,5.566924,5.511688,0.011352,1.678977,-1.111752,-5.922318,-2.435898,-45.398468,87.908191,-39.683926,-5.244494,1
11:12.0,0.059277,16.525036,27.841653,-1.428543,1.044262,-1.156466,-1.345581,1.943947,-44.713684,96.750215,-33.630185,6.317136,1
11:12.1,-8.223449,4.176465,0.536185,2.522997,-3.070595,-0.359906,-6.223785,-5.24588,-44.737823,103.517621,-40.948733,4.43064,1
11:12.2,-2.620301,-2.270179,-1.806743,0.14601,-2.588151,-0.954133,-13.742149,-4.778587,-43.334747,109.727554,-37.621637,-1.576502,1
11:12.3,-0.710423,5.882168,3.68848,-0.774318,0.330617,1.882447,-15.446381,0.741295,-41.791565,98.699599,-33.601731,-10.217264,1
11:12.4,4.187243,14.656472,33.920662,-1.111387,-0.672518,0.587066,-14.533424,7.624901,-40.720886,94.283147,-27.145629,-11.485421,1
11:12.5,1.607657,6.136788,7.352411,2.952761,-0.065768,-0.557118,-10.886078,2.246864,-43.819153,93.591671,-34.411743,-5.912164,1
11:12.6,-0.135319,-1.862876,-5.268295,2.799429,-0.153562,-1.504174,-5.419449,-11.796204,-45.637756,102.366205,-48.569777,4.959972,1
11:12.7,-1.323248,-1.293311,-1.870361,-0.110887,0.488633,-1.100342,-3.748138,-15.728279,-45.59787,110.837092,-50.215937,12.614411,1
11:12.8,5.624404,11.364667,22.813309,-0.616474,-0.335666,-0.551435,-4.231667,-11.861061,-45.802521,113.557047,-45.705592,13.432326,1
11:12.9,-0.541873,14.067896,15.270794,-2.77836,-0.756099,1.280554,-6.3629,-3.789001,-45.895538,105.350157,-38.914625,6.708553,1
